lat,lon
31.541647000000,34.466290000000
31.489842325918,34.479762580010
31.487007120170,34.479805634928
31.487190697244,34.479332030879
31.490970265195,34.480233792173
31.489110075994,34.479334422861
31.488498163570,34.479697997687
31.490847885449,34.479332030879
31.487105752493,34.474797252484
31.489683954820,34.477925909607
31.458824000000,34.389414000000
31.537923845614,34.546439287722
31.534613551997,34.545591708864
31.537739700141,34.544026015111
31.535802247239,34.543574422301
31.538629938989,34.543901665867
"31.5349539565799, ",34.543161376168
31.536270743022,34.543719275656
31.538721379482,34.543440325913
31.489783841683,34.478615365869
31.487068885226,34.478746794097
31.490614094910,34.477035544734
31.483368000544,34.473602317213
31.490412822080,34.478870175787
31.561675354650,34.478553264224
31.556144269209,34.475352589202
31.556487727598,34.478869583315
31.555843682866,34.480456298018
31.554256476107,34.476942372518
31.558616451534,34.480335070254
31.561784820609,34.473040137286
31.563528442335,34.479432738274
31.565540774374,34.478028656248
31.511886000000,34.438928000000
31.513713000000,34.436621000000
31.513578000000,34.435787000000
31.529601660368,34.447110215359
31.558785000000,34.480443000000
31.561606000000,34.478868000000
31.514465203548,34.438424813087
31.539433000000,34.507200000000
31.530091226057,34.454923000000
31.539436125664,34.506986364149
31.538841765346,34.507426246392
31.538554722201,34.511443051708
31.441022,34.382483000000
31.375347222200,34.320194444400
31.375347222200,34.320194444400
31.266549000000,34.261689000000
31.377341000000,34.318601000000
31.544273306956,34.457228966058
31.538513181496,34.543785119884
31.535879653293,34.543162847427
31.524139000000,34.461861000000
31.54891667,34.52483333
31.524139000000,34.461861000000
31.548917000000,34.524833000000
31.513550000000,34.440633333300
31.343990794952,34.304926623275
31.442210290878,34.399977246705
31.539625000000,34.496640000000
31.513550000000,34.440633333300
31.504965000000,34.462351000000
31.561427000000,34.480498000000
31.53333333,34.49883333
31.45055556,34.37611111
31.51063889,34.43955
31.51063889,34.43955
31.507,34.4306
