Post Date,Incident date,Title,Civilians reported killed,Location,Airwars ref code,Airwars link,lat,lon,Footage link,Timestamp of clip,Clip uploaded to Google Drive,Notes,direction,Unmatched ID,Group ID,External Geolocation Credit,,Review 01/10/2024
October 8 2023,,,,,,,31.5350037,34.54498582,https://x.com/IAFsite/status/1711038688170266673,0:10-0:17,TRUE,Strike occurs at 0:12 in clip,,UM00106,3,,,
October 8 2023,,,,,,,31.537739700141,34.544026015111,https://x.com/IAFsite/status/1711038688170266673/video/1,0:18-0:21,TRUE,,,UM00107,,,,
October 8 2023,,,,,,,31.53856996,34.54361253,https://x.com/IAFsite/status/1711038688170266673/video/1,0:30-0:47,TRUE,Strike occurs at 0:31 in clip,,UM00108,4,,,
October 8 2023,,,,,,,31.535802247239,34.543574422301,https://x.com/IAFsite/status/1711038688170266673/video/1,0:30-0:47,TRUE,Strike occurs at 0:33 in clip,,UM00109,4,,,
October 8 2023,,,,,,,31.53852623,34.54304587,https://x.com/IAFsite/status/1711038688170266673/video/1,0:30-0:47,TRUE,Strike occurs at 0:38 in clip,,UM00110,4,,,
October 8 2023,,,,,,,31.536270743022,34.543719275656,https://x.com/IAFsite/status/1711038688170266673/video/1,0:30-0:47,TRUE,Strike occurs at 0:46 in clip,,UM00111,4,,,
October 8 2023,,,,,,,31.53808632,34.5433613,https://x.com/IAFsite/status/1711038688170266673/video/1,0:48-01:02,TRUE,Strike occurs at 0:48 in clip,,UM00112,5,,,
October 8 2023,,,,,,,31.53927569,34.54253928,https://x.com/IAFsite/status/1711038688170266673/video/1,0:48-01:02,TRUE,Strike occurs at 0:50 in clip,,UM00113,5,,,
October 8 2023,,,,,,,31.539088328150,34.542462816009,https://x.com/IAFsite/status/1711038688170266673/video/1,0:48-01:02,TRUE,Strike occurs at 0:57 in clip,,UM00114,5,,,
October 8 2023,,,,,,,31.489783841683,34.478615365869,https://x.com/IAFsite/status/1711102379762810950?s=20,0:14-0:17,TRUE,,,UM00115,,,,
October 8 2023,,,,,,,31.487068885226,34.478746794097,https://x.com/IAFsite/status/1711102379762810950?s=20,0:14-0:17,TRUE,,,UM00116,,,,
October 8 2023,,,,,,,31.490614094910,34.477035544734,https://x.com/IAFsite/status/1711102379762810950?s=20,00:17-00:19,TRUE,,,UM00117,,,,
October 8 2023,,,,,,,31.483368000544,34.473602317213,https://x.com/IAFsite/status/1711102379762810950?s=20,0:20-0:21,TRUE,General coordinates - will need a note ,,UM00118,,,,
October 8 2023,,,,,,,31.490412822080,34.478870175787,https://x.com/IAFsite/status/1711102379762810950?s=20,0:22-0:24,TRUE,General coordinates - will need a note ,,UM00119,,,,
October 9 2023,,,,,,,31.561675354650,34.478553264224,https://x.com/IAFsite/status/1711368236539744506?s=20,0:00-0:06,TRUE,,,UM00120,6,,,
October 9 2023,,,,,,,31.556144269209,34.475352589202,https://x.com/IAFsite/status/1711368236539744506?s=20,0:00-0:06,TRUE,,,UM00121,6,,,
October 9 2023,,,,,,,31.556487727598,34.478869583315,https://x.com/IAFsite/status/1711368236539744506?s=20,0:00-0:06,TRUE,,,UM00122,6,,,
October 9 2023,,,,,,,31.555843682866,34.480456298018,https://x.com/IAFsite/status/1711368236539744506?s=20,0:00-0:06,TRUE,,,UM00123,6,,,
October 9 2023,,,,,,,31.554256476107,34.476942372518,https://x.com/IAFsite/status/1711368236539744506?s=20,0:00-0:06,TRUE,,,UM00124,6,,,
October 9 2023,,,,,,,31.558616451534,34.480335070254,https://x.com/IAFsite/status/1711368236539744506?s=20,0:00-0:06,TRUE,,,UM00125,6,,,
October 9 2023,,,,,,,31.561784820609,34.473040137286,https://x.com/IAFsite/status/1711368236539744506?s=20,0:00-0:06,TRUE,,,UM00126,6,,,
October 9 2023,,,,,,,31.563528442335,34.479432738274,https://x.com/IAFsite/status/1711368236539744506?s=20,0:00-0:06,TRUE,,,UM00127,6,,,
October 9 2023,,,,,,,31.565540774374,34.478028656248,https://x.com/IAFsite/status/1711368236539744506?s=20,0:00-0:06,TRUE,,,UM00128,6,,,
October 9 2023,,,,,,,31.511886000000,34.438928000000,https://x.com/IAFsite/status/1711452590456652013?s=20,0:00-0:10,TRUE,,,UM00129,,,,
October 9 2023,,,,,,,31.513713000000,34.436621000000,https://x.com/IAFsite/status/1711452590456652013?s=20 ,0:22-0:30,TRUE,,,UM00130,,,,
October 9 2023,,,,,,,31.513578000000,34.435787000000,https://x.com/IAFsite/status/1711452590456652013?s=20,0:40-0:43,TRUE,,,UM00131,,,,
October 9 2023,,,,,,,31.558785000000,34.480443000000,https://twitter.com/idfonline/status/1711386733047062987,1:28-1:51,TRUE,,,UM0054,,,,
"October 10, 2023",,,,,,,31.539433000000,34.507200000000,https://twitter.com/idfonline/status/1711604235572318320,0:00-0:08,TRUE,,,UM00132,,,,
October 10 2023,,,,,,,31.538841765346,34.507426246392,https://www.youtube.com/watch?v=Bl4WcxsB4ok,0:08,TRUE,,,UM0060,,,,
"October 10, 2023",,,,,,,31.538554722201,34.511443051708,https://www.youtube.com/watch?v=Bl4WcxsB4ok,0:17-0:20,TRUE,,,UM00135,,,,
"October 12, 2023",,,,,,,31.375347222200,34.320194444400,https://x.com/IAFsite/status/1712572688588316727?s=20,0:11-0:15,TRUE,,,UM0062,,,,
"October 12, 2023",,,,,,,31.544273306956,34.457228966058,https://twitter.com/IAFsite/status/1712701422829985844/video/1,bottom right: full video,TRUE,,,UM0064,,,,
"October 15, 2023",,,,,,,31.548917000000,34.524833000000,https://twitter.com/IAFsite/status/1713644187826971010,0:31-0:34,TRUE,,,UM0069,,https://x.com/ghost_watcher1/status/1713646739150839814,,
"October 16, 2023",,,,,,,31.51400165,34.43920783,https://www.youtube.com/watch?time_continue=108&v=-JdElkjV5Lg&embeds_referring_euri=https%3A%2F%2Fwww.idf.il%2F&source_ve_path=MzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMTM5MTE3LDM2ODQyLDM2ODQyLDEzOTExNywzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwxMzkxMTcsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMTM5MTE3LDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDEzOTExNywzNjg0MiwzNjg0MiwzNjg0MiwyMzg1MQ&feature=emb_title,1:31-1:48,TRUE,Strike occurs at 1:31 in clip,,UM00136,7,,,
"October 16, 2023",,,,,,,31.51316017,34.43987302,https://www.youtube.com/watch?time_continue=108&v=-JdElkjV5Lg&embeds_referring_euri=https%3A%2F%2Fwww.idf.il%2F&source_ve_path=MzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMTM5MTE3LDM2ODQyLDM2ODQyLDEzOTExNywzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwxMzkxMTcsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMTM5MTE3LDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDEzOTExNywzNjg0MiwzNjg0MiwzNjg0MiwyMzg1MQ&feature=emb_title,1:31-1:48,TRUE,Strike occurs at 1:34 in clip,,UM00137,7,,,
"October 16, 2023",,,,,,,31.51310529,34.44070987,https://www.youtube.com/watch?time_continue=108&v=-JdElkjV5Lg&embeds_referring_euri=https%3A%2F%2Fwww.idf.il%2F&source_ve_path=MzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMTM5MTE3LDM2ODQyLDM2ODQyLDEzOTExNywzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwxMzkxMTcsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMTM5MTE3LDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDEzOTExNywzNjg0MiwzNjg0MiwzNjg0MiwyMzg1MQ&feature=emb_title,1:31-1:48,TRUE,Strike occurs at 1:34 in clip,,UM00138,7,,,
"October 16, 2023",,,,,,,31.51352603,34.44064549,https://www.youtube.com/watch?time_continue=108&v=-JdElkjV5Lg&embeds_referring_euri=https%3A%2F%2Fwww.idf.il%2F&source_ve_path=MzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMTM5MTE3LDM2ODQyLDM2ODQyLDEzOTExNywzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwzNjg0MiwxMzkxMTcsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMzY4NDIsMTM5MTE3LDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDM2ODQyLDEzOTExNywzNjg0MiwzNjg0MiwzNjg0MiwyMzg1MQ&feature=emb_title,1:31-1:48,TRUE,Strike occurs at 1:38 in clip,,UM00139,7,,,
"October 16, 2023",,,,,,,31.343990794952,34.304926623275,https://www.youtube.com/watch?v=j4bHb1sDxBQ&embeds_referring_euri=https%3A%2F%2Fwww.idf.il%2F&source_ve_path=MjM4NTE&feature=emb_title,Whole video,TRUE,,,UM0010,,,,
"October 22, 2023",,,,,,,31.539625000000,34.496640000000,https://twitter.com/IAFsite/status/1715968643148779555,0:07,TRUE,,,UM0073,,,,
"October 25,2023",,,,,,,31.504965000000,34.462351000000,https://x.com/IAFsite/status/1717057291306844457?s=20,0:18,TRUE,,,UM0074,,,,
"October 29, 2023",,,,,,,31.561427000000,34.480498000000,https://x.com/IAFsite/status/1718602192565698765?s=20,0:16,TRUE,,,UM0075,,https://x.com/il_kanguru,,
October 9 2023,,,,,,,31.543914000000,34.538207000000,https://x.com/IAFsite/status/1711304246363083046,0:19-0:23 (LEFT),TRUE,,,UM00140,,,,
October 9 2023,,,,,,,31.53343736,34.44356724,https://youtu.be/8GNvCF4e4mw?si=Ob39Iy27jviA5fug&t=25,0:25-0:32,TRUE,,,UM00142,,,,
